Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
August 31 2023,Whatcom,WA,Passenger,2654,932,3586,147657,151243,2.37
January 31 2018,Grant,WA,Truck,0,0,0,25641,25641,0.00
May 31 2021,San Francisco,CA,Passenger,1,1,2,102,104,1.92
September 30 2017,Adams,WA,Truck,0,0,0,5122,5122,0.00
May 31 2022,Honolulu,HI,Passenger,5,4,9,362,371,2.43
June 30 2021,Broward,FL,Passenger,2,0,2,114,116,1.72
February 28 2021,Vigo,IN,Passenger,1,0,1,5,6,16.67
October 31 2020,Santa Cruz,CA,Passenger,1,0,1,33,34,2.94
July 31 2017,Juneau,AK,Passenger,0,1,1,45,46,2.17
September 30 2017,Hamilton,TN,Passenger,1,0,1,21,22,4.55
December 31 2023,Onslow,NC,Passenger,0,1,1,120,121,0.83
September 30 2019,Mason,WA,Passenger,133,129,262,47432,47694,0.55
December 31 2018,Jefferson,CO,Passenger,0,2,2,61,63,3.17
April 30 2018,Montgomery,TN,Passenger,1,0,1,275,276,0.36
April 30 2023,Okanogan,WA,Truck,3,0,3,16476,16479,0.02
March 31 2022,Asotin,WA,Passenger,22,18,40,12644,12684,0.32
May 31 2022,Garfield,WA,Truck,0,0,0,979,979,0.00
July 31 2018,Okanogan,WA,Truck,0,0,0,16426,16426,0.00
August 31 2017,,,Passenger,3,0,3,443,446,0.67
February 28 2023,Platte,MO,Passenger,1,0,1,21,22,4.55
January 31 2022,Broward,FL,Passenger,2,0,2,101,103,1.94
December 31 2017,Skagit,WA,Passenger,167,138,305,89553,89858,0.34
August 31 2021,Chelan,WA,Truck,0,0,0,23081,23081,0.00
March 31 2018,Deschutes,OR,Passenger,1,0,1,178,179,0.56
May 31 2017,Whitman,WA,Truck,0,0,0,8395,8395,0.00
July 31 2023,Franklin,WA,Truck,6,0,6,20922,20928,0.03
February 29 2020,Portsmouth,VA,Passenger,0,1,1,77,78,1.28
December 31 2020,Spartanburg,SC,Passenger,0,1,1,51,52,1.92
February 28 2021,Jones,GA,Passenger,1,0,1,1,2,50.00
April 30 2020,New Haven,CT,Passenger,0,2,2,40,42,4.76
December 31 2023,Prince George's,MD,Passenger,3,1,4,102,106,3.77
June 30 2018,Grant,WA,Passenger,31,45,76,63142,63218,0.12
February 29 2020,Lake,IL,Passenger,1,0,1,173,174,0.57
September 30 2018,Snohomish,WA,Truck,1,0,1,121773,121774,0.00
March 31 2022,Williamsburg,VA,Passenger,0,1,1,6,7,14.29
