station_id,open_time,last_time,total_sessions,total_energy_kwh,num_evses,provider,latitude,longitude,city,state,station_name,operational_days,operational_years
CP_WRECC_STATION_2,2023-11-04 17:52:00.000,2025-11-09 22:44:00.000,1965,64217.253,1,ChargePoint,37.377178,-86.826294,Beaver Dam,Kentucky,WRECC / STATION 2,736,2.0150581793292264
"EE_213_Main_St,_Water_Valley",2024-11-13 19:38:58.055,2025-11-09 11:42:03.000,332,13187.6305,2,ElectricEra,,,Water Valley,Mississippi,"213 Main St, Water Valley",360,0.9856262833675564
"EE_555_New_Salem_Hwy,_Murfreesboro",2024-10-02 14:41:49.374,2025-11-09 21:54:24.000,8090,294169.5074,4,ElectricEra,,,Murfreesboro,Tennessee,"555 New Salem Hwy, Murfreesboro",403,1.103353867214237
EVC_K0024970A,2024-11-07 16:04:31.000,2025-11-09 16:25:07.000,589,23280.07,1,EVConnect,,,Sweetwater,Tennessee,K0024970A,367,1.0047912388774811
KP_K0024409A,2025-03-19 16:29:41.493,2025-09-29 13:02:36.663,300,5059.203,4,Kempower,,,Franklin,Tennessee,K0024409A,193,0.5284052019164955
KP_K0024975A,2025-03-19 10:15:59.410,2025-09-30 18:57:35.709,160,4717.744,4,Kempower,,,Franklin,Tennessee,K0024975A,195,0.5338809034907598
KP_K0024986A,2024-11-13 18:43:18.301,2025-09-30 17:22:48.937,1747,69212.726,4,Kempower,,,East Ridge,Tennessee,K0024986A,320,0.8761122518822724
KP_K0027558,2024-03-11 17:56:20.595,2025-09-29 05:10:18.080,274,9042.325,2,Kempower,,,Dandridge,Tennessee,K0027558,566,1.5496235455167693
ZEF_DT-K0024977A1,2024-11-02 13:33:46.000,2025-10-18 15:21:30.000,206,4209.354,1,ZEFNET,,,Knoxville,Tennessee,DT-K0024977A~1,350,0.9582477754962354
ZEF_DT-K0024977A2,2024-10-20 12:06:16.000,2025-11-09 22:11:41.000,3200,100581.791,1,ZEFNET,,,Knoxville,Tennessee,DT-K0024977A~2,385,1.054072553045859
ZEF_DT-K0024977A3,2024-10-19 15:11:13.000,2025-11-09 20:20:36.000,1196,41653.973,1,ZEFNET,,,Knoxville,Tennessee,DT-K0024977A~3,386,1.056810403832991
ZEF_DT-K0024977A4,2024-10-19 13:18:23.000,2025-11-09 16:07:33.000,2835,104283.701,1,ZEFNET,,,Knoxville,Tennessee,DT-K0024977A~4,386,1.056810403832991
ZEF_DT-K0024978A1,2024-10-24 11:07:36.000,2025-10-19 13:27:23.000,1325,48072.584,1,ZEFNET,,,Knoxville,Tennessee,DT-K0024978A~1,360,0.9856262833675564
ZEF_DT-K0024978A2,2024-10-20 20:51:29.000,2025-10-19 10:46:43.000,1889,68588.169,1,ZEFNET,,,Knoxville,Tennessee,DT-K0024978A~2,363,0.9938398357289527
ZEF_DT-K0024978A3,2024-10-22 12:50:31.000,2025-10-19 14:43:58.000,1439,45679.771,1,ZEFNET,,,Knoxville,Tennessee,DT-K0024978A~3,362,0.9911019849418207
ZEF_DT-K0024978A4,2024-10-21 22:38:51.000,2025-10-19 12:02:57.000,2777,96725.91,1,ZEFNET,,,Knoxville,Tennessee,DT-K0024978A~4,362,0.9911019849418207
ZEF_SM-K0024972A1,2024-09-26 05:33:11.000,2025-09-23 16:34:28.000,65,619.09,1,ZEFNET,,,Seymour,Tennessee,SM-K0024972A~1,362,0.9911019849418207
ZEF_SM-K0024972A2,2024-10-01 11:39:49.000,2025-11-09 11:05:36.000,358,11582.145,1,ZEFNET,,,Seymour,Tennessee,SM-K0024972A~2,403,1.103353867214237
ZEF_SM-K0024972A3,2024-09-18 14:58:43.000,2025-11-09 17:15:26.000,1009,30053.814,1,ZEFNET,,,Seymour,Tennessee,SM-K0024972A~3,417,1.1416837782340863
ZEF_SM-K0024972A4,2024-10-01 11:58:29.000,2025-11-08 19:05:26.000,526,17441.085,1,ZEFNET,,,Seymour,Tennessee,SM-K0024972A~4,403,1.103353867214237
ZEF_SM-K0024972A5,2024-09-18 10:07:10.000,2025-11-08 12:14:04.000,391,11438.253,1,ZEFNET,,,Seymour,Tennessee,SM-K0024972A~5,416,1.1389459274469542
ZEF_SM-K0024972A6,2024-09-18 10:23:08.000,2025-11-06 07:33:05.000,76,1499.714,1,ZEFNET,,,Seymour,Tennessee,SM-K0024972A~6,413,1.1307323750855578
